siteid,sitename,plotid,easting,northing,taxonid,scientificname,indvidual_id,pointid,individualdistance,individualazimuth,dbh,dbhheight,basalcanopydiam,basalcanopydiam_90deg,maxcanopydiam,canopydiam_90deg,stemheight,stemremarks,stemstatus,canopyform,livingcanopy,inplotcanopy,materialsampleid,dbhqf,stemmapqf,plant_group,common_name,aop_plot,unique_id
SJER,San Joaquin,SJER361,256960.3,4107542.5,CECU,Ceanothus cuneatus,1374,center,15.5,354.5,24.7,130,0,0,4.8,4.3,3.3,,,Sphere,100,100,f021; outside 20x20 plot,0,0,,,,
SJER,San Joaquin,SJER361,256953.8,4107521.8,CECU,Ceanothus cuneatus,1346,SW,5,23.3,9.5,10,0,0,2.2,1.6,2.2,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER128,257087.9,4111391,CECU,Ceanothus cuneatus,1487,center,9.4,75,,130,48,31,6.5,4.6,3.6,6 stems,dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER361,256961.5,4107520.5,CECU,Ceanothus cuneatus,1342,center,6.7,182.8,16.4,0,0,0,2.5,2.4,3,,,Cone,85,100,,1,0,,,,
SJER,San Joaquin,SJER361,256967,4107522.5,CECU,Ceanothus cuneatus,1357,center,7,131.8,,130,58,38,4.3,4.3,2.7,5 stems,not many lvs on live parts,Sphere,70,100,,0,0,,,,
SJER,San Joaquin,SJER361,256955.6,4107519.2,CECU,Ceanothus cuneatus,1345,center,9.9,218.6,,130,124,1.6,5.2,5.1,2.3,19 stems,,Sphere,80,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258493.3,4109851.8,CECU,Ceanothus cuneatus,1591,center,6.5,216.2,15.8,1,0,0,3.6,2.9,2.8,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258492.9,4109848.5,CECU,Ceanothus cuneatus,1592,SW,6.5,80.6,9,1,0,0,1.4,1.6,2.8,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER1068,255858,4111579.8,CECU,Ceanothus cuneatus,1646,NE,5.1,294.2,,130,67,45,4.2,3.9,2.9,6 stems,,Sphere,100,100,f079,0,0,,,,
SJER,San Joaquin,SJER3239,258493.6,4109858.5,CECU,Ceanothus cuneatus,1608,center,3.8,293.7,,130,35,22,5.2,5.1,3.1,7 stems,,Sphere,90,100,,0,0,,,,
SJER,San Joaquin,SJER361,256961.6,4107529.5,CECU,Ceanothus cuneatus,1366,center,2.5,354.9,7.4,0,0,0,1.6,1.3,1.5,,,Cone,95,100,,1,0,,,,
SJER,San Joaquin,SJER361,256960.8,4107526,CECU,Ceanothus cuneatus,1352,center,1.4,224.8,8.6,0,0,0,2,1.7,2,,,Cone,100,100,,1,0,,,,
SJER,San Joaquin,SJER361,256961.5,4107519.2,CECU,Ceanothus cuneatus,1344,SE,10.5,281.6,6.9,10,0,0,1.8,1.2,2.3,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258504.1,4109866.5,CECU,Ceanothus cuneatus,1602,NE,3,268.2,,130,27,8,2.8,2.5,2.6,3 stems,,Cone,75,100,,0,0,,,,
SJER,San Joaquin,SJER361,256967.7,4107517.5,CECU,Ceanothus cuneatus,1360,center,11.2,148,,130,133,12,4.7,3.2,2.5,13 stems some emerging after running below the surface. 1 giant 30x40 basal stem,,Hemisphere,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256966.8,4107535.8,CECU,Ceanothus cuneatus,1365,center,10.1,29.7,,130,40,19,1,0.5,0.6,2 stems; broken by fallen pine,dead,Cone,0,100,,0,0,,,,
SJER,San Joaquin,SJER916,257466.8,4109624.2,CECU,Ceanothus cuneatus,1557,center,9.8,40.3,3.4,0,0,0,1.1,0.9,1,,,Cone,100,100,f002,1,0,,,,
SJER,San Joaquin,SJER3239,258503.2,4109861.5,CECU,Ceanothus cuneatus,1596,NE,6.4,217.5,12,1,0,0,3.2,2.8,1.5,,,Hemisphere,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256966.8,4107524.2,CECU,Ceanothus cuneatus,1355,center,5.7,119.5,23.9,10,0,0,4.6,4.7,2.7,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER916,257458.1,4109605.8,CECU,Ceanothus cuneatus,1561,center,11.2,192.4,,130,31,14,2,1.5,1.5,2 stems,,Sphere,100,100,f004,0,0,,,,
SJER,San Joaquin,SJER3239,258494.3,4109851.8,CECU,Ceanothus cuneatus,1589,center,5.9,208.3,7.1,1,0,0,1.5,1.2,2.8,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258499.4,4109862.5,CECU,Ceanothus cuneatus,1588,center,5.9,22.4,1.8,1,0,0,0.7,0.6,1,,,Cone,90,100,,0,0,,,,
SJER,San Joaquin,SJER361,256962,4107528.5,CECU,Ceanothus cuneatus,1361,center,1.3,10.2,,130,11,7,1.1,1.3,1.9,11 stems,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258498.4,4109851,CECU,Ceanothus cuneatus,1595,center,6.1,167.5,,130,48,33,5.9,5.7,3.8,6 stems,,Hemisphere,70,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258494,4109847.8,CECU,Ceanothus cuneatus,1593,SW,7.5,87.6,12.4,1,0,0,2.6,1.9,2.8,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256960.8,4107519.5,CECU,Ceanothus cuneatus,1343,center,7.5,187.6,3.8,10,0,0,1.4,0.9,1.6,,,Cone,90,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258494.3,4109850.8,CECU,Ceanothus cuneatus,1590,center,6.9,203.8,14.5,1,0,0,3.3,2.4,3.7,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256966.1,4107520.5,CECU,Ceanothus cuneatus,1359,center,7.9,147.4,,130,56,39,4.3,3.3,2.5,9 stems,,Hemisphere,60,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258496.2,4109847.5,CECU,Ceanothus cuneatus,1594,center,9.4,185.4,,130,18,8,1.4,1.1,2.5,5 stems,,Cylinder,100,100,,0,0,,,,
SJER,San Joaquin,SJER3239,258491.6,4109860,CECU,Ceanothus cuneatus,1607,center,6.2,298.3,8.9,1,0,0,2.5,2.1,2,,,Sphere,100,100,,0,0,,,,
SJER,San Joaquin,SJER361,256963.2,4107529,CECU,Ceanothus cuneatus,1362,center,2.5,33.9,57,0,0,0,2.3,1.9,1.5,,,Cone,95,100,,1,0,,,,
SJER,San Joaquin,SJER1068,255854.6,4111568.5,CELE2,Ceanothus leucodermis,1635,center,2.3,75.7,19.3,10,0,0,3.9,3.8,2.6,,,Sphere,45,100,,0,0,,,,
SJER,San Joaquin,SJER1068,255854.4,4111563.5,CELE2,Ceanothus leucodermis,1634,center,4.7,154.2,,130,21,18,1.5,0.7,0,3 stems,long dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER1068,255859.4,4111572.8,CELE2,Ceanothus leucodermis,1636,center,8.6,55.3,,130,43,35,6.4,6.5,3.1,15 stems,,Hemisphere,90,100,f077,0,0,,,,
SJER,San Joaquin,SJER2796,256026.8,4111524.2,CELE2,Ceanothus leucodermis,1612,center,12.2,218.4,30.1,1,0,0,6.6,6,4.4,,,Sphere,90,100,f097,0,0,,,,
SJER,San Joaquin,SJER2796,256030.5,4111543.2,CELE2,Ceanothus leucodermis,1619,center,10.2,337.6,,130,76,27,4.3,3.2,2.9,10 stems,dead w branches,,0,100,,0,0,,,,
SJER,San Joaquin,SJER1068,255853.9,4111576.8,CELE2,Ceanothus leucodermis,1640,center,9,9.8,24.6,1,,,6.2,4.1,2,3 stems,dead and sprawling,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER1068,255845.5,4111559,CELE2,Ceanothus leucodermis,1632,SW,3.4,80,14.4,1,0,0,3.7,3.5,2.1,,,Sphere,100,100,,0,0,,,,
SJER,San Joaquin,SJER824,256182.9,4110056,CELE2,Ceanothus leucodermis,1395,center,8.9,342.2,,130,105,89,5.7,4.9,3.7,22 stems,,Sphere,60,100,f047,0,0,,,,
SJER,San Joaquin,SJER2796,256019.7,4111534.5,CELE2,Ceanothus leucodermis,1627,center,14.7,273,20.8,10,0,0,5.5,4.8,2.8,,,Hemisphere,65,100,f098,0,0,,,,
SJER,San Joaquin,SJER1068,255858.1,4111567.8,CELE2,Ceanothus leucodermis,1633,center,5.7,90.6,,130,100,48,4.7,4.5,2.5,3 stems 0,,Hemisphere,80,100,f074,0,0,,,,
SJER,San Joaquin,SJER2796,256035.3,4111530.5,CELE2,Ceanothus leucodermis,1614,center,3.4,164.4,17.3,1,0,0,5.1,4.3,3.8,,,Cone,95,100,f096,0,0,,,,
SJER,San Joaquin,SJER1068,255848.6,4111577,CELE2,Ceanothus leucodermis,1641,center,10,338,,130,138,58,9.8,6.3,4,7 stems,,Hemisphere,35,100,f076,0,0,,,,
SJER,San Joaquin,SJER8,254749.3,4110239.8,KEBR,Keckiella breviflora,1479,center,14.3,131.6,,130,41,9,1.5,1.3,1.2,7 stems,,Sphere,100,100,f062,0,0,,,,
SJER,San Joaquin,SJER952,255866.2,4110759.5,LUAL4,Lupinus albifrons,1700,center,5,273.6,,130,8,5,1.3,1.2,1.2,2 stems,,Cone,90,100,,0,0,,,,
SJER,San Joaquin,SJER952,255864.6,4110752,LUAL4,Lupinus albifrons,1660,center,9.7,222.9,3.3,130,0,0,0.9,0.8,0.7,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER952,255863.5,4110749.8,LUAL4,Lupinus albifrons,1659,center,12,219.6,6.1,1,0,0,1.5,1.5,1.2,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER952,255863.9,4110761.8,LUAL4,Lupinus albifrons,1697,center,7.8,290.9,9.8,10,0,0,1.5,0.9,0.9,,dead and horiz,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255861.9,4110750,LUAL4,Lupinus albifrons,1658,center,13,225.9,4.6,1,0,0,0.6,0.6,1.1,,dead,Cone,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255863.7,4110754.5,LUAL4,Lupinus albifrons,1656,center,8.8,238.9,3.5,1,0,0,0.8,0.7,1,,,Cone,90,100,,0,0,,,,
SJER,San Joaquin,SJER952,255862.7,4110751.8,LUAL4,Lupinus albifrons,1657,center,11.2,229.7,15.3,1,0,0,2.8,2.4,1.7,,,Cone,85,100,,0,0,,,,
SJER,San Joaquin,SJER952,255879.4,4110766.5,LUAL4,Lupinus albifrons,1684,center,11.1,47.3,2.3,1,0,0,0.4,0.2,0.9,,dead,Cylinder,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255864.9,4110761.5,LUAL4,Lupinus albifrons,1698,center,6.7,290.3,2.6,1,0,0,0.4,0.4,0.7,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER8,254748.4,4110267.5,LUAL4,Lupinus albifrons,1484,NE,8.5,357.4,14.3,5,0,0,3.7,3,2,3 stems at 20cm,,Hemisphere,70,100,f065,0,0,,,,
SJER,San Joaquin,SJER952,255865.8,4110760,LUAL4,Lupinus albifrons,1699,center,5.5,280.3,4.1,10,0,0,0.7,0.7,1.3,,dead,Cone,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255865.4,4110764.2,LUAL4,Lupinus albifrons,1694,center,7.8,312.1,10.8,10,0,0,1.5,1.5,0.6,,,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255865.8,4110755.5,LUAL4,Lupinus albifrons,1655,center,6.5,236.8,5.9,1,0,0,1.4,1.3,1.5,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER952,255879.5,4110763.5,LUAL4,Lupinus albifrons,1683,center,9.4,62.7,13,10,0,0,2.6,2,1.6,,,Cone,85,100,f072,0,0,,,,
SJER,San Joaquin,SJER952,255872.4,4110759.5,LUAL4,Lupinus albifrons,1677,center,1.3,71.1,5.2,1,0,0,1.3,1.2,1.1,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER952,255861.9,4110764,LUAL4,Lupinus albifrons,1692,center,10.6,298.7,3.5,1,0,0,0.8,0.8,0.9,,,Cylinder,95,100,,0,0,,,,
SJER,San Joaquin,SJER952,255869.7,4110751,LUAL4,Lupinus albifrons,1662,center,8.2,190.5,10.9,10,0,0,2.5,2.3,2.2,,,Cone,90,100,f069,0,0,,,,
SJER,San Joaquin,SJER8,254740.9,4110254.5,LUAL4,Lupinus albifrons,1464,center,5.7,23.7,9.3,0,0,0,1.2,1,0.3,,long dead,Hemisphere,0,100,,1,0,,,,
SJER,San Joaquin,SJER952,255872.5,4110759.5,LUAL4,Lupinus albifrons,1678,center,1.3,75.9,1.5,1,0,0,0.3,0.3,0.6,,dead,Cone,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255877.1,4110761.5,LUAL4,Lupinus albifrons,1681,center,6.4,68.4,4,10,0,0,0.7,0.7,0.7,,dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255865.1,4110764.8,LUAL4,Lupinus albifrons,1693,center,8.4,313.2,4.7,10,0,0,0.6,0.4,1,,dead,Cone,0,100,,0,0,,,,
SJER,San Joaquin,SJER8,254746.9,4110258,LUAL4,Lupinus albifrons,1467,center,12.1,43.5,7.2,5,0,0,1.8,1.5,1.1,,,Cone,90,100,,0,0,,,,
SJER,San Joaquin,SJER952,255876.7,4110752.8,LUAL4,Lupinus albifrons,1669,center,8.3,138.4,12.6,3,0,0,2.4,2.6,2.2,,,Cone,80,100,,0,0,,,,
SJER,San Joaquin,SJER8,254734.9,4110245,LUAL4,Lupinus albifrons,1446,center,5.6,221,6.2,10,0,0,1.4,0.7,0.3,,long dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255866.7,4110753,LUAL4,Lupinus albifrons,1661,center,7.4,217.2,13.2,10,0,0,2.2,2,1,,dead and horiz; broken but attached,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255868.9,4110759,LUAL4,Lupinus albifrons,1701,center,2.3,270.3,3.8,10,0,0,1.1,0.9,1,,,Cone,80,100,,0,0,,,,
SJER,San Joaquin,SJER952,255879.5,4110758.8,LUAL4,Lupinus albifrons,1675,center,8.3,92.5,16,1,0,0,2.7,2.7,2.1,,,Cone,85,100,,0,0,,,,
SJER,San Joaquin,SJER8,254743.5,4110243.5,LUAL4,Lupinus albifrons,1449,center,7.5,139.5,10.4,0,0,0,2.1,2,1.4,rest of shrub (60%) broken off by cows,long dead,Hemisphere,0,100,,1,0,,,,
SJER,San Joaquin,SJER952,255863.5,4110766,LUAL4,Lupinus albifrons,1691,center,10.4,312.6,,130,32,8,2.3,1.3,1.4,2 stems,dead and splayed,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255874.5,4110753.5,LUAL4,Lupinus albifrons,1667,center,6.5,149.6,4.4,1,0,0,1.1,1.1,0.9,,,Cone,100,100,,0,0,,,,
SJER,San Joaquin,SJER952,255874.4,4110759.5,LUAL4,Lupinus albifrons,1679,center,3.2,82.5,13.6,10,0,0,2,1.9,1.9,,,Cone,40,100,,0,0,,,,
SJER,San Joaquin,SJER952,255869.2,4110762.2,LUAL4,Lupinus albifrons,1706,center,3.8,327.6,9.6,1,0,0,1.8,1,0.9,,,Hemisphere,95,100,,0,0,,,,
SJER,San Joaquin,SJER952,255861.8,4110761.2,LUAL4,Lupinus albifrons,1696,center,9.6,283.2,10.7,10,0,0,1.7,1.7,0.7,,dead and splayed horiz,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER8,254736.7,4110246.5,LUAL4,Lupinus albifrons,1445,center,3.3,215.8,,130,66,44,2.2,1.4,0.7,,long dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255866.1,4110757.5,LUAL4,Lupinus albifrons,1654,center,5.3,254.3,5,1,0,0,0.8,0.5,0.7,,dead,Cone,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255877.8,4110752.8,LUAL4,Lupinus albifrons,1671,center,9.2,133.7,3.5,1,0,0,0.4,0.3,0.6,,dead,Cone,0,100,,0,0,,,,
SJER,San Joaquin,SJER8,254734.1,4110250.5,LUAL4,Lupinus albifrons,1476,center,4.7,284.5,18,40,0,0,1.8,0.9,0.6,,dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER8,254748.7,4110246.5,LUAL4,Lupinus albifrons,1478,center,10.5,105.4,19.1,5,0,0,5.2,3.1,2.7,,,Sphere,75,100,f64,0,0,,,,
SJER,San Joaquin,SJER952,255877.3,4110763.5,LUAL4,Lupinus albifrons,1685,center,7.6,53.6,10.5,1,0,0,1.3,1.2,1.8,,dead,Cylinder,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255870.1,4110754.2,LUAL4,Lupinus albifrons,1664,center,5,193,6.6,5,0,0,1.9,1.9,1.7,,,Sphere,95,100,,0,0,,,,
SJER,San Joaquin,SJER8,254741.2,4110257.5,LUAL4,Lupinus albifrons,1466,center,8.7,17.5,14.6,5,0,0,2.8,2,1.8,,dead,Hemisphere,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255867,4110761,LUAL4,Lupinus albifrons,1702,center,4.6,293.9,7.5,1,0,0,0.5,0.4,1.4,,dead,Cylinder,0,100,,0,0,,,,
SJER,San Joaquin,SJER952,255865.8,4110758,LUAL4,Lupinus albifrons,1653,center,5.5,259.1,3.9,1,0,0,0.8,0.7,0.7,,,Hemisphere,60,100,,0,0,,,,
SJER,San Joaquin,SJER952,255872.6,4110756.5,LUAL4,Lupinus albifrons,1666,center,3,152,6,10,0,0,2,1.5,1.4,,,Hemisphere,95,100,f072,0,0,,,,
SJER,San Joaquin,SJER952,255864.5,4110756.5,LUAL4,Lupinus albifrons,1652,center,7.1,250.1,6.6,1,0,0,1.5,1.3,1.2,,,Cone,95,100,,0,0,,,,
SJER,San Joaquin,SJER952,255878.3,4110761.5,LUAL4,Lupinus albifrons,1682,center,7.5,71.8,1.4,1,0,0,0.5,0.3,0.6,,,Cone,100,100,,0,0,,,,
