Group Name,Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
group_name,faculty,US,"Computer science/electrical engineering, Medicine, Physics","helper, host, learner",Other,Other
,faculty,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",,A certification or short course,Primary instructor for a full course
group_name,research,NZ,"Genetics, genomics, bioinformatics","helper, instructor, learner",None,A workshop (full day or longer)
,research,AU,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",helper,A few hours,Teaching assistant for a full course
group_name,research,NZ,"Genetics, genomics, bioinformatics","helper, learner",None,None
,support,GB,"Genetics, genomics, bioinformatics, Medicine",learner,A certification or short course,Teaching assistant for a full course
,grad,AU,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,Teaching assistant for a full course
group_name,research,US,"Computer science/electrical engineering, Library and information science",,None,Teaching assistant for a full course
,librarian,CA,Library and information science,learner,A certification or short course,A workshop (full day or longer)
,faculty,FR,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",learner,A certification or short course,Primary instructor for a full course
group_name,,US,"Economics/business, Education, Library and information science, Social sciences",,A certification or short course,Teaching assistant for a full course
group_name,support,US,"Humanities, Library and information science","helper, learner",None,Teaching assistant for a full course
,support,US,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",,None,Primary instructor for a full course
,grad,CA,"Chemistry, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,None,Teaching assistant for a full course
,librarian,CH,"Chemistry, Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Economics/business, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Physics","helper, host, learner",A certification or short course,Primary instructor for a full course
,support,GB,"Genetics, genomics, bioinformatics",,None,Primary instructor for a full course
group_name,support,US,"Economics/business, Education, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences",learner,A workshop,Teaching assistant for a full course
group_name,undisclosed,US,,,None,A few hours
group_name,research,US,"Computer science/electrical engineering, Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",,A certification or short course,Teaching assistant for a full course
,postdoc,NO,,helper,None,None
group_name,grad,US,"Computer science/electrical engineering, Mathematics/statistics, Medicine","helper, instructor, host, learner, organizer, contributor",A few hours,Teaching assistant for a full course
,support,CA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A certification or short course,Teaching assistant for a full course
,support,US,,learner,Other,Other
group_name,grad,US,Psychology/neuroscience,,A workshop,Primary instructor for a full course
,faculty,US,Social sciences,,A certification or short course,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, High performance computing",learner,A workshop,Primary instructor for a full course
,postdoc,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing, Mathematics/statistics","helper, instructor, learner, organizer",None,Primary instructor for a full course
,,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,Teaching assistant for a full course
group_name,undisclosed,US,,learner,A workshop,A workshop (full day or longer)
group_name,librarian,US,"Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",learner,Other,Other
,commerce,EG,"Computer science/electrical engineering, Mathematics/statistics",,A few hours,Primary instructor for a full course
group_name,postdoc,US,Social sciences,,None,Teaching assistant for a full course
,research,US,"Computer science/electrical engineering, Organismal biology (ecology, botany, zoology, microbiology)",,None,None
,librarian,NO,"Education, Humanities, Library and information science","helper, instructor, learner, organizer",Other,Primary instructor for a full course
group_name,librarian,CA,"Humanities, Library and information science",,A workshop,Teaching assistant for a full course
group_name,grad,US,"Education, Genetics, genomics, bioinformatics, Mathematics/statistics",,A certification or short course,Teaching assistant for a full course
,postdoc,US,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",helper,None,A workshop (full day or longer)
,postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",helper,Other,Teaching assistant for a full course
group_name,librarian,CA,Library and information science,,A workshop,A workshop (full day or longer)
group_name,support,CA,"Chemistry, Genetics, genomics, bioinformatics",,None,None
,grad,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,A workshop,Teaching assistant for a full course
,postdoc,GB,Medicine,,None,A workshop (full day or longer)
,grad,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing, Physics",,A workshop,Teaching assistant for a full course
group_name,faculty,US,Library and information science,learner,Other,Primary instructor for a full course
group_name,support,CA,"Computer science/electrical engineering, High performance computing, Humanities",helper,None,A workshop (full day or longer)
,grad,ZA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,None,None
,postdoc,GB,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,Teaching assistant for a full course
,grad,CA,"Psychology/neuroscience, Social sciences",learner,A few hours,Teaching assistant for a full course
,grad,US,"Genetics, genomics, bioinformatics",learner,None,Teaching assistant for a full course
group_name,support,CA,"Education, Library and information science",,A certification or short course,Primary instructor for a full course
,grad,SE,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Medicine",,None,Teaching assistant for a full course
,grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics","instructor, host, learner, organizer",A few hours,Teaching assistant for a full course
group_name,grad,KE,"Chemistry, Genetics, genomics, bioinformatics, Mathematics/statistics, Medicine, Organismal biology (ecology, botany, zoology, microbiology), Psychology/neuroscience",learner,A workshop,A workshop (full day or longer)
group_name,grad,ZA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A workshop,Primary instructor for a full course
,,NG,"Computer science/electrical engineering, Mathematics/statistics",,A workshop,Primary instructor for a full course
,grad,IE,"Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)","helper, instructor, host, organizer",A workshop,A workshop (full day or longer)
group_name,librarian,US,"Humanities, Library and information science","helper, host, learner, organizer",A workshop,Other
group_name,librarian,CA,"Library and information science, Organismal biology (ecology, botany, zoology, microbiology)",,Other,A few hours
group_name,librarian,US,Library and information science,,A certification or short course,Primary instructor for a full course
group_name,librarian,US,"Genetics, genomics, bioinformatics, Library and information science, Medicine",helper,Other,Other
group_name,grad,US,Psychology/neuroscience,learner,A certification or short course,Teaching assistant for a full course
group_name,grad,US,"Genetics, genomics, bioinformatics",helper,None,Teaching assistant for a full course
,postdoc,SA,"Genetics, genomics, bioinformatics",,None,Teaching assistant for a full course
group_name,commerce,US,"Computer science/electrical engineering, Physics",,None,Primary instructor for a full course
,,PK,"Computer science/electrical engineering, Mathematics/statistics, Physics",learner,Other,Primary instructor for a full course
,research,NZ,Mathematics/statistics,learner,None,A workshop (full day or longer)
,librarian,US,"Chemistry, Library and information science, Mathematics/statistics, Physics","helper, learner, contributor",A workshop,Primary instructor for a full course
group_name,faculty,GB,"Genetics, genomics, bioinformatics","helper, instructor, learner, organizer",A certification or short course,A workshop (full day or longer)
,postdoc,GB,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics",,A certification or short course,Other
group_name,librarian,US,"Humanities, Library and information science",learner,Other,Primary instructor for a full course
group_name,postdoc,US,"Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,A few hours,Teaching assistant for a full course
group_name,librarian,US,"Humanities, Library and information science",,A full degree,Primary instructor for a full course
group_name,librarian,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,Other,Other
group_name,,US,"Education, Library and information science",learner,Other,Other
,support,US,"Education, Humanities, Library and information science, Social sciences","helper, learner, contributor",A full degree,Teaching assistant for a full course
group_name,research,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics",,None,Teaching assistant for a full course
,grad,CA,"Humanities, Library and information science",learner,A few hours,Other
group_name,research,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics, Physics",,None,Teaching assistant for a full course
group_name,grad,US,Psychology/neuroscience,,None,None
group_name,,US,"Computer science/electrical engineering, Economics/business",learner,A certification or short course,Primary instructor for a full course
group_name,librarian,CA,"Economics/business, Library and information science, Social sciences",,A workshop,A workshop (full day or longer)
group_name,faculty,US,"Humanities, Library and information science, Social sciences","instructor, learner, organizer",Other,Primary instructor for a full course
group_name,,US,Humanities,,A certification or short course,Primary instructor for a full course
,research,DK,,,None,A few hours
group_name,research,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",,A workshop,Primary instructor for a full course
,postdoc,CA,"Genetics, genomics, bioinformatics",,A few hours,Other
,research,US,,,A certification or short course,Teaching assistant for a full course
group_name,commerce,CA,"Computer science/electrical engineering, Education, Humanities, Library and information science",,A certification or short course,Primary instructor for a full course
group_name,librarian,US,"Education, Humanities, Library and information science",learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Education, Library and information science, Social sciences",learner,A certification or short course,Teaching assistant for a full course
group_name,librarian,US,Library and information science,,None,A workshop (full day or longer)
group_name,librarian,US,"Economics/business, Education, Mathematics/statistics, Social sciences",,None,Primary instructor for a full course
,undisclosed,AF,,,None,None
group_name,faculty,BR,Mathematics/statistics,learner,A few hours,Primary instructor for a full course
group_name,research,FR,"Computer science/electrical engineering, Education, Genetics, genomics, bioinformatics",,A certification or short course,Teaching assistant for a full course
group_name,support,US,"Computer science/electrical engineering, High performance computing",,None,None
group_name,librarian,US,Library and information science,,A certification or short course,Primary instructor for a full course
group_name,librarian,CA,"Humanities, Library and information science",,Other,Primary instructor for a full course
group_name,postdoc,US,"Economics/business, Humanities, Mathematics/statistics",learner,A certification or short course,Primary instructor for a full course
group_name,grad,US,"Humanities, Social sciences","helper, learner, organizer",A certification or short course,Teaching assistant for a full course
group_name,,US,"Education, Library and information science, Mathematics/statistics, Psychology/neuroscience, Social sciences",learner,Other,Primary instructor for a full course
group_name,undisclosed,US,Computer science/electrical engineering,,None,Primary instructor for a full course
group_name,grad,US,Psychology/neuroscience,,A workshop,Teaching assistant for a full course
,commerce,IN,"Computer science/electrical engineering, Education",,None,A workshop (full day or longer)
group_name,undergrad,US,Mathematics/statistics,,Other,Teaching assistant for a full course
group_name,research,US,"Computer science/electrical engineering, Mathematics/statistics",helper,A certification or short course,Teaching assistant for a full course
group_name,,US,Computer science/electrical engineering,,None,A few hours
group_name,support,US,"Chemistry, Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics, Physics",learner,Other,Primary instructor for a full course
group_name,librarian,US,Library and information science,learner,None,Primary instructor for a full course
,grad,US,"Mathematics/statistics, Social sciences",learner,None,None
group_name,librarian,NO,Humanities,"helper, instructor, learner, organizer",A full degree,Primary instructor for a full course
group_name,support,US,"Education, Genetics, genomics, bioinformatics, Library and information science, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",A certification or short course,Primary instructor for a full course
group_name,undisclosed,US,Computer science/electrical engineering,,None,None
,,US,"Chemistry, Planetary sciences (geology, climatology, oceanography, etc.)","host, organizer",Other,Other
group_name,librarian,US,"Library and information science, Social sciences",learner,A certification or short course,Primary instructor for a full course
,postdoc,CA,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A workshop,Primary instructor for a full course
group_name,,US,"Civil, mechanical, chemical, or nuclear engineering, Computer science/electrical engineering, High performance computing, Mathematics/statistics","helper, instructor, host, learner, organizer",A workshop,Primary instructor for a full course
group_name,postdoc,US,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",,None,Teaching assistant for a full course
group_name,research,US,"Genetics, genomics, bioinformatics","helper, host, organizer",Other,Primary instructor for a full course
group_name,faculty,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",,A workshop,Primary instructor for a full course
group_name,research,US,"High performance computing, Mathematics/statistics",,A certification or short course,A workshop (full day or longer)
group_name,research,US,"Genetics, genomics, bioinformatics, High performance computing",helper,Other,Teaching assistant for a full course
,research,US,"Computer science/electrical engineering, High performance computing",,None,Primary instructor for a full course
group_name,,GB,"Education, Library and information science",,A full degree,Other
,faculty,ZW,Library and information science,,None,Primary instructor for a full course
,research,ES,"Mathematics/statistics, Psychology/neuroscience",helper,A full degree,Primary instructor for a full course
group_name,,US,,,None,None
group_name,grad,US,"Genetics, genomics, bioinformatics","instructor, organizer",Other,Teaching assistant for a full course
,grad,US,"Chemistry, Education, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)","helper, instructor, learner, contributor",A certification or short course,Teaching assistant for a full course
group_name,faculty,US,"Education, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,Primary instructor for a full course
group_name,librarian,JM,"Computer science/electrical engineering, Education, Humanities, Library and information science, Social sciences",learner,A full degree,A workshop (full day or longer)
,grad,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",helper,Other,Teaching assistant for a full course
,postdoc,US,Psychology/neuroscience,learner,None,A workshop (full day or longer)
,undisclosed,US,Mathematics/statistics,"helper, learner",A certification or short course,Primary instructor for a full course
,undisclosed,US,Mathematics/statistics,"helper, learner",A certification or short course,Primary instructor for a full course
group_name,postdoc,US,"Planetary sciences (geology, climatology, oceanography, etc.)",learner,A workshop,Primary instructor for a full course
group_name,research,US,"Computer science/electrical engineering, Education, Mathematics/statistics, Physics","helper, contributor",None,Teaching assistant for a full course
group_name,librarian,US,"Genetics, genomics, bioinformatics, Library and information science, Medicine, Organismal biology (ecology, botany, zoology, microbiology)","helper, host, organizer",A certification or short course,Other
group_name,librarian,US,"Library and information science, Planetary sciences (geology, climatology, oceanography, etc.)","instructor, host, learner, organizer, contributor",A certification or short course,A workshop (full day or longer)
,grad,ES,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,None,Other
,,ES,Chemistry,learner,None,Other
group_name,faculty,US,"Organismal biology (ecology, botany, zoology, microbiology)",instructor,Other,Primary instructor for a full course
group_name,postdoc,US,"Genetics, genomics, bioinformatics",,None,None
group_name,faculty,DK,"Organismal biology (ecology, botany, zoology, microbiology)",learner,A full degree,Primary instructor for a full course
