Country,Position,Position-Other,Field,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,How-Many-Workshops,How-Long-Ago,Content,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Behaviors-Adopted,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Programming-Usage-Before-Workshop,Programming-Usage-Since-Workshop,Change-In-Confidence,How-Tools-Learned-Help,Column34,Column35,Column36,Column37,Column38,Contributed-To-Writing,Skills-Advance-Career,Motivated-Seek-Knowledge,Made-Analyses-Reproducible,Received-Professional-Recognition,Improved Coding Practices,Improved-Research-Productivity,Gained-Confidence-With-Data,Carpentry-Involvement,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Activities,Column53,Column54,Column55,Column56,Column57,Column58,Recommended,Likely-To-Recommend
USA,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Less than once per year.,Several times per year.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,The tools I learned have not helped me with my work.,,,Yes.,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Subscribed to the newsletter.,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10
Norway,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,Git,,,,Python,,,,Unix Shell,,,,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Several times per year.,Monthly.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,10
Norway,Graduate Student,,,,,,,,,,,Mathematics or Statistics,,,,2,0-6 months ago,,Git,,,,,R,,,,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Several times per year.,Several times per year.,I'm more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Less than once per year.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,,,,,,,,,,,,,Participated in a semester long course.,,Used non-Carpentry self-guided material.,,Yes.,10
Norway,Academic Research Staff,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,,,,Python,,,,Unix Shell,,"Subversion, unit testing, scipy",Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Several times per year.,Several times per year.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,Became an instructor trainer,Participated in an in-person short course.,,,,,,,Yes.,10
South Africa,,Research Staff,,,,Computer Science,,,,,,,Physical Sciences,,e-Infrastructure,1,More than 1 year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Faculty,,,,,,,,Humanities,,,,,,,2,6 months - 1 year ago,,Git,,,,,R,Spreadsheets,,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,,Reusing code.,Using version control to manage code.,,,,Several times per year.,Several times per year.,I'm more confident now.,,They are improving my ability to analyze data.,,,,,No.,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Subscribed to the newsletter.,,Became a workshop helper.,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10
Spain,Graduate Student,,,,,,,,,,,,Physical Sciences,,,1,6 months - 1 year ago,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Several times per year.,I'm equally confident now.,They are improving my overall efficiency.,,,,,,No.,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,Yes.,6
UK,Graduate Student,,,,,Computer Science,,,,,Life Sciences,,,,,1,More than 1 year ago,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,Using version control to collaborate online (in public or private repositories).,,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,8
,Academic Research Staff,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,Git,,,,Python,,,SQL,Unix Shell,,,Improving data management and project organization.,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,I had not been using tools like these.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Subscribed to the newsletter.,,Became a workshop helper.,Became a Carpentry instructor.,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,8
Canada,Industry,,,,,,,,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,,,,,Python,,,SQL,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,,,Participated in a Twitter chat.,Contributed to a Carpentry lesson.,,,,Participated in a Meetup.,Participated in a semester long course.,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10
USA,Academic Research Staff,,,,Business,,,,,,,,,,Research Computing,1,More than 1 year ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Postdoc,,,,,,,,,,Life Sciences,,,,,1,0-6 months ago,,Git,,,,,R,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,I had not been using tools like these.,I have not been using tools like these.,I'm more confident now.,,They are improving my ability to analyze data.,,,,,No.,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,I don't remember.,8
Spain,Graduate Student,,,,,,,,,,,,Physical Sciences,,,1,6 months - 1 year ago,,Git,,,,Python,,,,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Weekly.,Weekly.,I'm more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Neutral,,,,,,,,,,,,,,,,,Yes.,10
Spain,Graduate Student,,,,,,,,,,Life Sciences,,,Social Sciences,,1,6 months - 1 year ago,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,The tools I learned have not helped me with my work.,,,Yes.,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,10
Spain,Graduate Student,,,,,,,,,,,,,,Neuroscience,1,6 months - 1 year ago,,Git,,,,Python,,,,,,,,,,,,,,,,,Less than once per year.,Several times per year.,I'm equally confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,Neutral,Neutral,Neutral,Strongly disagree,Agree,Neutral,Agree,,,,,,,,,,,,,,,,,Yes.,7
UK,Academic Research Staff,,,,,,,,,,,Mathematics or Statistics,,,,1,0-6 months ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Postdoc,,,,,,,,Humanities,,,,,Social Sciences,,1,0-6 months ago,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Less than once per year.,Several times per year.,I'm equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,Neutral,Strongly agree,Neutral,Disagree,Disagree,Agree,Agree,Subscribed to the newsletter.,,,,,,,,,,,,,,,,I don't remember.,10
Spain,Graduate Student,,,,,,,,,,,,,,Neurocognitive Science,1,6 months - 1 year ago,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,No.,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Faculty,,,,,,,,,,,,,Social Sciences,,2,6 months - 1 year ago,,Git,,,,,R,,,,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Monthly.,Weekly.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Not sure.,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,9
USA,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,Git,,,,Python,,,SQL,Unix Shell,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Subscribed to the newsletter.,,Became a workshop helper.,Became a Carpentry instructor.,,Joined a mentoring group.,Participated in a Twitter chat.,Contributed to a Carpentry lesson.,,Participated in an in-person short course.,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,9
USA,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,Git,,,,,R,,,Unix Shell,,,,,,,,,,,,,Weekly.,Weekly.,I'm equally confident now.,,,,The tools I learned have not helped me with my work.,,,No.,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,Participated in a semester long course.,,,,No.,2
,Postdoc,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,Git,,,,,R,,,Unix Shell,,,Improving data management and project organization.,,,,,,Using version control to manage code.,,,,Daily.,Daily.,I'm equally confident now.,They are improving my overall efficiency.,,,,,,No.,Neutral,Strongly agree,Agree,Neutral,Agree,Agree,Agree,,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,7
Canada,Graduate Student,,,Biomedical/Health Sciences,,,,,,,,,,,Veterinary Medicine,1,More than 1 year ago,,,,,,,R,,,,I don't remember.,,Improving data management and project organization.,,,,,,,,,,I had not been using tools like these.,I have not been using tools like these.,I'm more confident now.,,,,,,,Not sure.,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Agree,Neutral,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,10
USA,Other Academic Staff,HPC Director,,,,Computer Science,,,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Subscribed to the newsletter.,Attended at least one community call.,,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10
UK,Faculty,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,Git,,,,,R,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Weekly.,I'm more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Subscribed to the newsletter.,Attended at least one community call.,,Became a Carpentry instructor.,,Joined a mentoring group.,,Contributed to a Carpentry lesson.,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,8
USA,Postdoc,,,,,,,,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,Git,,,,,,,,Unix Shell,,,,,,,,,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,,,The tools I learned have not helped me with my work.,,,No.,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Graduate Student,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,Git,,,,Python,,,SQL,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Monthly.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Not sure.,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,Joined a committee.,Joined a mentoring group.,,Contributed to a Carpentry lesson.,"Elected to Steering Committee, certified as a DC instructor, helped develop Library Carpentry, did guiding of SA instructor trainees to help them finish. (I am probably not your typical workshop attendee - I really drank the Kool-Aid)",,,,,,Used non-Carpentry self-guided material.,,Yes.,10
Australia,Postdoc,,,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,Git,,,,Python,,,SQL,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Subscribed to the newsletter.,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,,,,Contributed to a Carpentry lesson.,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,10
USA,Academic Research Staff,,,,,,,,,,,,Physical Sciences,,,2,0-6 months ago,,Git,,,,Python,,,,Unix Shell,,,,,,,,,,,,,Daily.,Daily.,I'm equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,,,,,,,,,"Took the instructor class, but haven't completed requirements yet",Participated in an in-person short course.,Participated in an online short course.,Participated in a Meetup.,,,,,Yes.,8
USA,Faculty,,,Biomedical/Health Sciences,,Computer Science,,Engineering,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,,Taught these principles in graduate course,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,,,,,Useful tools for training my own team,Yes.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,,,,,,,,,,,,,,,,,Yes.,10
USA,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,0-6 months ago,,,,,,,R,,,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,,Reusing code.,,,,,Weekly.,Weekly.,I'm equally confident now.,They are improving my overall efficiency.,,,,,,Not sure.,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,Yes.,10
USA,Postdoc,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,Git,,,,,R,,,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,No.,7
USA,Graduate Student,,Agricultural or Environmental Sciences,,,Computer Science,,,,,Life Sciences,Mathematics or Statistics,,,,1,6 months - 1 year ago,,Git,,,,,R,,,,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I'm more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Yes.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,Yes.,10
USA,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,Git,,,,,R,,,Unix Shell,,,Improving data management and project organization.,,,,,,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Daily.,Daily.,I'm more confident now.,,,They are improving my ability to manage data.,,,,No.,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,I don't remember.,7
USA,Postdoc,,,,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,Git,,,,,R,,,Unix Shell,,,Improving data management and project organization.,,,,,Reusing code.,,,,,Daily.,Daily.,I'm equally confident now.,They are improving my overall efficiency.,,,,,,Not sure.,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Neutral,,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,,,Yes.,10
Canada,Postdoc,,,,,,,,,,,,,,Biological Sciences (Life Sciences usually means medical),1,More than 1 year ago,,Git,,,,,R,,,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Weekly.,Daily.,I'm more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,,Attended at least one community call.,Became a workshop helper.,Became a Carpentry instructor.,,Joined a mentoring group.,,Contributed to a Carpentry lesson.,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,9
