Date,WhenTaking,MemberSite,MemberSiteOther,UniqueID,InformationReasonableTime,AtmosphereWelcoming,LearnedSkills,Material,Recommend,Worth,Pace,HandsOn,TrainersClearAnswers,TrainersConsiderate,TrainersCommunicators,TrainersEnthusiastic,NewInformation,LiveCodingPostAbility,WebsitePostAbility,ConceptMapsPostAbility,MCQPostAbility,LearningObjectivesPostAbility,KnowledgeFormativeAssessmentPost,KnowledgeFeedbackPost,KnowledgeNovicePost,KnowledgeHumanMemoryPost,KnowledgeCognitiveLoadPost,KnowledgeCarpentriesPost,KnowledgeMotivationStrategiesPost,MotivationFormativeAssessmentPost,MotivationFeedbackPost,MotivationNovicePost,MotivationHumanMemoryPost,MotivationCognitiveLoadPost,MotivationCarpentriesPost,MotivationMotivationStrategiesPost,CompleteTraining,CompleteTrainingOther,LikelyToRecommend,Workshop ID
9/7/18 10:09,"I have just completed the training, and am taking it at the event",My training event is not listed,"Johanessburg,South Africa , 6 -7 September 2018",2duder,Agree,Strongly Agree,Agree,Agree,,Strongly Agree,Slightly slow,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Some of it,Extremely able,Extremely able,Extremely able,Extremely able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,10,instructor-training
9/5/18 11:14,"I have recently completed the training, and am taking it after I left the event",AUG 7-8 (Northwestern University),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/18 0:04,"I have recently completed the training, and am taking it after I left the event",My training event is not listed,Aug 18-19 Online,1sabar,Agree,Agree,Agree,Neither Agree nor Disagree,,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,Most of it,Extremely able,Moderately able,Extremely able,Moderately able,Moderately able,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Could use some more details,,10,
8/31/18 18:37,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,2nesto,Agree,Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),Often,Often,All of the time,All of the time,,,,,,,,,,,,,,,,,,,,,,,,
8/31/18 18:37,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1seedg,Agree,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Just right,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Moderately able,Neutral,Moderately able,Extremely able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,9,
8/31/18 18:36,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1bobro,Agree,Agree,Agree,Agree,,Agree,Slightly fast,Slightly too much lecture,Often,All of the time,All of the time,All of the time,,,,,,,,,,,,,,,,,,,,,,,,
8/31/18 18:38,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,2saroc,Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),All of the time,Often,Often,Often,Most of it,Slightly able,Slightly able,Neutral,Slightly able,Slightly able,Little or no knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,More motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,More motivated,More motivated,Could use some more details,,9,
8/31/18 18:36,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,4smbry,Agree,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Some of it,Moderately able,Extremely able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,More motivated,More motivated,More motivated,"Yes, I understand",,8,
8/31/18 18:39,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1denin,Agree,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,Moderately able,Moderately able,Neutral,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Could use some more details,,9,
8/31/18 18:43,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,3hibai,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,,Agree,Too fast,Too much lecture,Sometimes,Sometimes,Sometimes,Sometimes,About half of it,Moderately able,Moderately able,Extremely able,Extremely able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,No change in motivation,"Yes, I understand",,10,
8/31/18 18:40,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1wiabb,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly slow,Slightly too much hands-on,Often,All of the time,All of the time,All of the time,About half of it,Moderately able,Neutral,Extremely able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,No change in motivation,No change in motivation,More motivated,More motivated,Much more motivated,"Yes, I understand",,10,
8/31/18 18:38,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,0loedg,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Moderately able,Moderately able,Extremely able,Moderately able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,,
8/31/18 18:38,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,4mathu,Disagree,Agree,Neither Agree nor Disagree,Agree,,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,Often,Most of it,Not at all able,Not at all able,Slightly able,Slightly able,Moderately able,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Could use some more details,,6,
8/31/18 18:36,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,4alrou,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,Some of it,Moderately able,Extremely able,Neutral,Moderately able,Moderately able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,No change in motivation,More motivated,Much more motivated,More motivated,"Yes, I understand",,10,
8/31/18 18:36,"I have just completed the training, and am taking it at the event",Sept 13-14 (Online),,2busev,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Extremely able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,9,
8/31/18 18:38,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,2ermaj,Agree,Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,Often,Often,All of the time,About half of it,Extremely able,Moderately able,Slightly able,Extremely able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,No change in motivation,More motivated,Slightly less motivated,Slightly less motivated,No change in motivation,More motivated,Much more motivated,Could use some more details,,8,
8/31/18 18:41,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,2toran,Agree,Strongly Agree,Agree,Agree,,Agree,Slightly fast,Balanced (lecture/hands-on),Often,Often,Often,All of the time,About half of it,Moderately able,Neutral,Neutral,Neutral,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,8,
8/31/18 18:36,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,4br67t,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,All of the time,All of the time,About half of it,Extremely able,Extremely able,Slightly able,Slightly able,Slightly able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,No change in motivation,No change in motivation,More motivated,No change in motivation,Other (please specify),"I think so. If not, I'm confident that I know where to find the answers",8,
8/31/18 18:39,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,2buros,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,Disagree,Just right,Slightly too much lecture,Often,All of the time,All of the time,All of the time,Some of it,Slightly able,Slightly able,Not at all able,Not at all able,Slightly able,Little or no knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Could use some more details,,7,
8/31/18 18:51,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1toelm,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Extremely able,Moderately able,Moderately able,Extremely able,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,More motivated,More motivated,Much more motivated,Much more motivated,"Yes, I understand",,10,
8/31/18 18:38,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1bomas,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Slightly fast,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,About half of it,Moderately able,Neutral,Moderately able,Moderately able,Extremely able,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,No change in motivation,More motivated,More motivated,No change in motivation,No change in motivation,More motivated,More motivated,"Yes, I understand",,10,
8/31/18 18:39,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,4wreig,Agree,Strongly Agree,Strongly Agree,Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,Moderately able,Extremely able,Moderately able,Extremely able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,Much more motivated,More motivated,More motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,10,
8/31/18 18:36,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1turol,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,All of the time,Often,All of the time,About half of it,Moderately able,Neutral,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,No change in motivation,More motivated,More motivated,More motivated,More motivated,Could use some more details,,9,
8/31/18 18:15,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,0cahid,Agree,Agree,Agree,Agree,,Agree,Just right,Balanced (lecture/hands-on),All of the time,All of the time,All of the time,All of the time,Most of it,Moderately able,Neutral,Neutral,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,Much more motivated,"Yes, I understand",,9,
8/31/18 18:33,"I have just completed the training, and am taking it at the event",AUG 30 - 31 (Calgary),,1bebow,Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,,Agree,Slightly fast,Slightly too much lecture,Often,Often,Often,Often,About half of it,Moderately able,Moderately able,Slightly able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,No change in motivation,Slightly less motivated,More motivated,Could use some more details,,7,
8/29/18 16:20,"I have recently completed the training, and am taking it after I left the event",AUG 28-29 (Online),,1fablu,Disagree,Agree,Strongly Agree,Strongly Agree,,,Slightly fast,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Neutral,Neutral,Neutral,Moderately able,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,More motivated,No change in motivation,No change in motivation,Much more motivated,Much more motivated,Slightly less motivated,More motivated,"Yes, I understand",,7,
8/29/18 16:20,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,4itnor,Agree,Agree,Agree,Agree,,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,All of it,Moderately able,Moderately able,Moderately able,Moderately able,Moderately able,Little or no knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,No change in motivation,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,No change in motivation,"Yes, I understand",,7,
8/29/18 16:19,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,1chlak,Disagree,Strongly Agree,Agree,Strongly Agree,,Strongly Agree,Slightly fast,Slightly too much lecture,Often,All of the time,All of the time,Often,About half of it,Moderately able,Moderately able,Moderately able,Slightly able,Moderately able,Little or no knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Little or no knowledge of topic,Slightly less motivated,No change in motivation,No change in motivation,No change in motivation,No change in motivation,Much more motivated,Much more motivated,Could use some more details,,8,
8/29/18 16:15,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,2alelm,Agree,Strongly Agree,Strongly Agree,Agree,,Agree,Slightly slow,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Moderately able,Moderately able,Extremely able,Moderately able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,No change in motivation,No change in motivation,No change in motivation,More motivated,More motivated,Could use some more details,,8,
8/29/18 16:16,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,3newoo,Agree,Agree,Agree,Agree,,Agree,Just right,Slightly too much lecture,Often,All of the time,All of the time,All of the time,Some of it,Moderately able,Neutral,Neutral,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,"Yes, I understand",,7,
8/29/18 16:15,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,4dhmor,Neither Agree nor Disagree,Agree,Agree,Agree,,Neither Agree nor Disagree,Slightly slow,Slightly too much lecture,Often,Often,All of the time,Often,Most of it,Neutral,Neutral,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,No change in motivation,More motivated,No change in motivation,More motivated,More motivated,More motivated,More motivated,Could use some more details,,7,
8/29/18 16:15,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,5jobro,Agree,Agree,Strongly Agree,Agree,,Strongly Agree,Just right,Balanced (lecture/hands-on),Often,Often,Often,Often,Most of it,Moderately able,Moderately able,Moderately able,Moderately able,Moderately able,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,"Yes, I understand",,8,
8/29/18 16:13,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,1wouni,Agree,Strongly Agree,Agree,Agree,,Neither Agree nor Disagree,Slightly slow,Slightly too much hands-on,All of the time,All of the time,All of the time,All of the time,About half of it,Extremely able,Extremely able,Moderately able,Moderately able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,"Yes, I understand",,5,
8/29/18 16:18,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,1grtai,Disagree,Strongly Agree,Agree,Agree,,Agree,Slightly slow,Balanced (lecture/hands-on),Often,All of the time,Often,Often,About half of it,Moderately able,Neutral,Moderately able,Extremely able,Extremely able,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,No change in motivation,More motivated,No change in motivation,No change in motivation,No change in motivation,No change in motivation,More motivated,Could use some more details,,7,
8/29/18 16:11,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,2catra,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Just right,Slightly too much lecture,All of the time,All of the time,All of the time,All of the time,Most of it,Extremely able,Extremely able,Moderately able,Moderately able,Moderately able,Extensive knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Some knowledge of topic,Some knowledge of topic,Extensive knowledge of topic,Extensive knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,No change in motivation,More motivated,"Yes, I understand",,8,
8/29/18 16:13,"I have just completed the training, and am taking it at the event",AUG 28-29 (Online),,1jegil,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,,Agree,Slightly slow,Slightly too much lecture,Often,Often,All of the time,All of the time,About half of it,Moderately able,Moderately able,Extremely able,Moderately able,Moderately able,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,Some knowledge of topic,Little or no knowledge of topic,Some knowledge of topic,Some knowledge of topic,More motivated,More motivated,More motivated,More motivated,More motivated,More motivated,Much more motivated,Could use some more details,,7,
