full,short
I have gained confidence in working with data as a result of completing the workshop.,impact_increase_confidence
Please tell us the most important way you were impacted as a result of attending a Carpentries workshop.,impact_open
Please indicate your involvement in the Carpentries community since attending a Carpentries workshop. Check all that apply.,community_involvement
Other_7,community_involvement_open
Which of the following learning activities (for data management and analysis) have you participated in since attending a Carpentries workshop? Check all that apply.,other_activities
Other_8,other_activities_open
Have you recommended a Carpentries workshop to a friend or colleague?,has_recommended
How likely are you to recommend a Carpentries workshop to a friend or colleague?,recommendation_score
OPTIONAL: Please tell us two outcomes you accomplished as a result of attending a Carpentries workshop.,outcomes_open
"OPTIONAL: If you are not applying the skills you learned at a Carpentries workshop in your work, please tell us why.",why_not_applying_open
"OPTIONAL: If you would like to make additional comments about your Carpentries workshop experience, or ways you've used the tools you learned in a Carpentries workshop, please comment below.",comments_open
In what country is your workshop being held?,workshop_country
To which gender identity do you most identify?,gender
Other_9,gender_open
"American Indian or Alaska Native (Having origins in any of the original peoples of North and South America (including Central America), and who maintains a tribal affiliation or community attachment.)",ethnicity_american_indian
"Asian (Having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, Indonesia, the Philippine Islands, Thailand, and Vietnam.)",ethnicity_asian
Black or African American (Having origins in any of the Black racial groups of Africa – includes Caribbean Islanders and others of African origin.),ethnicity_african_american
Hispanic or Latino(a) (A person of Spanish-speaking origin or ancestry and/or Latin American origin or ancestry – includes Portuguese and Brazilians.),ethnicity_hispanic
"Native Hawaiian or Other Pacific Islander (Having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.)",ethnicity_pacific_islander
"White (Having origins in any of the original peoples of Europe, the Middle East, or North Africa.)",ethnicity_white
I prefer not to say.,ethnicity_prefer_not_say
Other_10,ethnicity_open
slug,slug_auto
Start Date (UTC),start_datetime
Submit Date (UTC),end_datetime
Network ID,network_id
